configuration,true_pos,false_pos,false_neg,true_neg,precision,sensitivity,f1
dataset_000014-model_000004,88,162,70,197,0.352,0.5569620253164557,0.4313725490196078
dataset_000015-model_000001,72,169,86,190,0.2987551867219917,0.45569620253164556,0.36090225563909767
dataset_000015-model_000002,91,201,67,158,0.3116438356164384,0.5759493670886076,0.40444444444444444
dataset_000015-model_000003,116,238,42,121,0.327683615819209,0.7341772151898734,0.453125
dataset_000015-model_000004,87,172,71,187,0.3359073359073359,0.5506329113924051,0.4172661870503597
dataset_000016-model_000001,67,130,91,229,0.3401015228426396,0.4240506329113924,0.37746478873239436
dataset_000016-model_000002,75,185,83,174,0.28846153846153844,0.47468354430379744,0.3588516746411483
dataset_000016-model_000003,126,246,32,113,0.3387096774193548,0.7974683544303798,0.47547169811320755
dataset_000016-model_000004,75,165,83,194,0.3125,0.47468354430379744,0.37688442211055273
dataset_000017-model_000001,74,136,84,223,0.3523809523809524,0.46835443037974683,0.40217391304347827
dataset_000017-model_000002,92,173,66,186,0.3471698113207547,0.5822784810126582,0.43498817966903075
dataset_000017-model_000003,116,244,42,115,0.32222222222222224,0.7341772151898734,0.44787644787644787
dataset_000017-model_000004,88,166,70,193,0.3464566929133858,0.5569620253164557,0.4271844660194175
dataset_000018-model_000001,61,128,97,231,0.32275132275132273,0.3860759493670886,0.3515850144092219
dataset_000018-model_000002,82,184,76,175,0.3082706766917293,0.5189873417721519,0.38679245283018865
dataset_000018-model_000003,118,244,40,115,0.3259668508287293,0.7468354430379747,0.4538461538461539
dataset_000018-model_000004,92,180,66,179,0.3382352941176471,0.5822784810126582,0.42790697674418604
dataset_000019-model_000001,68,141,90,218,0.3253588516746411,0.43037974683544306,0.3705722070844687
dataset_000019-model_000002,79,186,79,173,0.2981132075471698,0.5,0.37352245862884165
dataset_000019-model_000003,120,244,38,115,0.32967032967032966,0.759493670886076,0.45977011494252873
dataset_000019-model_000004,80,160,78,199,0.3333333333333333,0.5063291139240507,0.4020100502512563
dataset_000020-model_000001,73,138,85,221,0.3459715639810427,0.4620253164556962,0.3956639566395664
dataset_000020-model_000002,98,189,60,170,0.34146341463414637,0.620253164556962,0.4404494382022472
dataset_000020-model_000003,122,251,36,108,0.32707774798927614,0.7721518987341772,0.4595103578154426
dataset_000020-model_000004,75,170,83,189,0.30612244897959184,0.47468354430379744,0.37220843672456577
dataset_000021-model_000001,95,139,94,220,0.405982905982906,0.5026455026455027,0.4491725768321513
dataset_000021-model_000002,96,189,93,170,0.3368421052631579,0.5079365079365079,0.4050632911392405
dataset_000021-model_000003,147,252,42,107,0.3684210526315789,0.7777777777777778,0.5
dataset_000021-model_000004,96,176,93,183,0.35294117647058826,0.5079365079365079,0.4164859002169197
dataset_000022-model_000001,83,131,106,228,0.3878504672897196,0.43915343915343913,0.4119106699751861
dataset_000022-model_000002,105,176,84,183,0.3736654804270463,0.5555555555555556,0.4468085106382979
dataset_000022-model_000003,140,240,49,119,0.3684210526315789,0.7407407407407407,0.492091388400703
dataset_000022-model_000004,104,182,85,177,0.36363636363636365,0.5502645502645502,0.4378947368421052
dataset_000023-model_000001,83,126,106,233,0.39712918660287083,0.43915343915343913,0.4170854271356784
dataset_000023-model_000002,107,190,82,169,0.3602693602693603,0.5661375661375662,0.44032921810699593
dataset_000023-model_000003,136,249,53,110,0.35324675324675325,0.7195767195767195,0.47386759581881527
dataset_000023-model_000004,100,185,89,174,0.3508771929824561,0.5291005291005291,0.4219409282700422
dataset_000024-model_000001,76,153,113,206,0.3318777292576419,0.4021164021164021,0.36363636363636365
dataset_000024-model_000002,90,178,99,181,0.3358208955223881,0.47619047619047616,0.3938730853391685
dataset_000024-model_000003,150,247,39,112,0.3778337531486146,0.7936507936507936,0.5119453924914676
dataset_000024-model_000004,101,162,88,197,0.3840304182509506,0.5343915343915344,0.44690265486725667
dataset_000025-model_000001,87,170,102,189,0.33852140077821014,0.4603174603174603,0.390134529147982
dataset_000025-model_000002,110,195,79,164,0.36065573770491804,0.582010582010582,0.44534412955465585
dataset_000025-model_000003,150,243,39,116,0.3816793893129771,0.7936507936507936,0.5154639175257731
dataset_000025-model_000004,101,170,88,189,0.3726937269372694,0.5343915343915344,0.43913043478260866
dataset_000026-model_000001,81,122,108,237,0.39901477832512317,0.42857142857142855,0.413265306122449
dataset_000026-model_000002,102,181,87,178,0.36042402826855124,0.5396825396825397,0.43220338983050843
dataset_000026-model_000003,137,260,52,99,0.345088161209068,0.7248677248677249,0.4675767918088738
dataset_000026-model_000004,92,165,97,194,0.35797665369649806,0.48677248677248675,0.41255605381165916
dataset_000027-model_000001,81,127,108,232,0.3894230769230769,0.42857142857142855,0.4080604534005038
dataset_000027-model_000002,104,178,85,181,0.36879432624113473,0.5502645502645502,0.44161358811040335
dataset_000027-model_000003,153,246,36,113,0.38345864661654133,0.8095238095238095,0.5204081632653061
dataset_000027-model_000004,104,172,85,187,0.37681159420289856,0.5502645502645502,0.44731182795698926
dataset_000028-model_000001,77,130,112,229,0.3719806763285024,0.4074074074074074,0.3888888888888889
dataset_000028-model_000002,102,189,87,170,0.35051546391752575,0.5396825396825397,0.42499999999999993
dataset_000028-model_000003,138,248,51,111,0.35751295336787564,0.7301587301587301,0.4799999999999999
